date,open,high,low,close,volume,Intel
1980-03-17,0.1984,0.2016,0.1984,0.1984,10924800,Intel
1980-03-18,0.1984,0.2000,0.1968,0.1968,17068800,Intel
1980-03-19,0.2016,0.2048,0.2016,0.2016,18508800,Intel
1980-03-20,0.2016,0.2040,0.2008,0.2008,11174400,Intel
1980-03-21,0.1968,0.1968,0.1936,0.1936,12172800,Intel
1980-03-24,0.1929,0.1929,0.1897,0.1897,8966400,Intel
1980-03-25,0.1905,0.1936,0.1905,0.1905,11347200,Intel
1980-03-26,0.1905,0.1921,0.1889,0.1889,16262400,Intel
1980-03-27,0.1857,0.1857,0.1825,0.1825,26918400,Intel
1980-03-28,0.1897,0.1929,0.1897,0.1897,20102400,Intel
1980-03-31,0.1960,0.1992,0.1960,0.1960,9004800,Intel
1980-04-01,0.1968,0.2000,0.1968,0.1968,8179200,Intel
1980-04-02,0.1984,0.2016,0.1984,0.1984,12556800,Intel
1980-04-03,0.1976,0.1976,0.1944,0.1944,6988800,Intel
1980-04-07,0.1929,0.1929,0.1897,0.1897,13478400,Intel
1980-04-08,0.1905,0.1936,0.1905,0.1905,29184000,Intel
1980-04-09,0.1897,0.1897,0.1865,0.1865,11558400,Intel
1980-04-10,0.1865,0.1889,0.1857,0.1857,14784000,Intel
1980-04-11,0.1857,0.1889,0.1857,0.1857,9523200,Intel
1980-04-14,0.1873,0.1905,0.1873,0.1873,8025600,Intel
1980-04-15,0.1873,0.1881,0.1849,0.1849,10598400,Intel
1980-04-16,0.1809,0.1809,0.1778,0.1778,10752000,Intel
1980-04-17,0.1778,0.1778,0.1746,0.1746,17702400,Intel
1980-04-18,0.1770,0.1802,0.1770,0.1770,18739200,Intel
1980-04-21,0.1770,0.1786,0.1754,0.1754,9043200,Intel
1980-04-22,0.1833,0.1865,0.1833,0.1833,20428800,Intel
1980-04-23,0.1944,0.1976,0.1944,0.1944,14822400,Intel
1980-04-24,0.1952,0.1984,0.1952,0.1952,8832000,Intel
1980-04-25,0.1952,0.1952,0.1921,0.1921,7104000,Intel
1980-04-28,0.1921,0.1936,0.1905,0.1905,6931200,Intel
1980-04-29,0.1921,0.1952,0.1921,0.1921,6297600,Intel
1980-04-30,0.1944,0.1976,0.1944,0.1944,7065600,Intel
1980-05-01,0.1952,0.1984,0.1952,0.1952,7008000,Intel
1980-05-02,0.1984,0.2016,0.1984,0.1984,5510400,Intel
1980-05-05,0.2008,0.2040,0.2008,0.2008,3513600,Intel
1980-05-06,0.2008,0.2032,0.2000,0.2000,6988800,Intel
1980-05-07,0.2000,0.2032,0.2000,0.2000,6393600,Intel
1980-05-08,0.2000,0.2008,0.1976,0.1976,7468800,Intel
1980-05-09,0.2000,0.2032,0.2000,0.2000,16684800,Intel
1980-05-12,0.2000,0.2024,0.1992,0.1992,8582400,Intel
1980-05-13,0.2032,0.2063,0.2032,0.2032,7372800,Intel
1980-05-14,0.2063,0.2095,0.2063,0.2063,4742400,Intel
1980-05-15,0.2079,0.2111,0.2079,0.2079,8102400,Intel
1980-05-16,0.2103,0.2135,0.2103,0.2103,4838400,Intel
1980-05-19,0.2111,0.2143,0.2111,0.2111,8640000,Intel
1980-05-20,0.2111,0.2119,0.2087,0.2087,21811200,Intel
1980-05-21,0.2071,0.2071,0.2040,0.2040,10540800,Intel
1980-05-22,0.2040,0.2048,0.2016,0.2016,5318400,Intel
1980-05-23,0.2087,0.2119,0.2087,0.2087,29779200,Intel
1980-05-27,0.2087,0.2111,0.2079,0.2079,8332800,Intel
1980-05-28,0.2127,0.2159,0.2127,0.2127,6700800,Intel
1980-05-29,0.2127,0.2159,0.2127,0.2127,7660800,Intel
1980-05-30,0.2159,0.2190,0.2159,0.2159,5721600,Intel
1980-06-02,0.2167,0.2198,0.2167,0.2167,6355200,Intel
1980-06-03,0.2143,0.2143,0.2111,0.2111,15244800,Intel
1980-06-04,0.2143,0.2175,0.2143,0.2143,7680000,Intel
1980-06-05,0.2143,0.2175,0.2143,0.2143,6470400,Intel
1980-06-06,0.2143,0.2159,0.2127,0.2127,28723200,Intel
1980-06-09,0.2127,0.2143,0.2111,0.2111,7545600,Intel
1980-06-10,0.2135,0.2167,0.2135,0.2135,17280000,Intel
1980-06-11,0.2159,0.2190,0.2159,0.2159,3206400,Intel
1980-06-12,0.2159,0.2159,0.2127,0.2127,10809600,Intel
1980-06-13,0.2127,0.2159,0.2127,0.2127,3590400,Intel
1980-06-16,0.2127,0.2159,0.2127,0.2127,7987200,Intel
1980-06-17,0.2127,0.2151,0.2119,0.2119,12864000,Intel
1980-06-18,0.2119,0.2135,0.2103,0.2103,8064000,Intel
1980-06-19,0.2095,0.2095,0.2063,0.2063,13689600,Intel
1980-06-20,0.2071,0.2103,0.2071,0.2071,7027200,Intel
1980-06-23,0.2071,0.2103,0.2071,0.2071,9888000,Intel
